customer_id,name,email,phone,address,city,state,zip_code,registration_date,loyalty_score
1a2a73ed,Franklin Thompson,edwardsnicole@example.org,673-210-9678,"037 Linda Port Apt. 516, New Timothyberg, KY 95309",New Christopherport,Washington,98166,2024-11-28,0.13
5be6128e,Patrick Fox,wayala@example.org,(839)710-3717x058,"8356 Turner Vista, North Sarah, AK 26213",West Patrick,Vermont,22533,2022-11-30,0.99
43b7a3a6,Karen Strickland,caseyelliott@example.net,001-309-548-0141x381,"087 Paul Lane Apt. 668, North Samuel, MH 81195",West Bryanbury,Delaware,93068,2022-12-01,3.25
759cde66,Ashley Gordon,scottbowen@example.net,+1-863-338-3928,"Unit 5535 Box 6033, DPO AE 77652",Sarahbury,Texas,00780,2024-11-23,2.72
ec1b8ca1,Amanda Logan,samanthajensen@example.com,001-995-776-1228x68528,"890 Morgan Gateway Apt. 102, Whiteton, MD 46332",New Williamton,Nevada,08678,2022-12-11,1.1
4b0dbb41,Kelly Ellis,christophergarcia@example.org,685-756-6593x98368,"2967 Diane Club, Shawnaborough, NM 92940",Hillside,New Jersey,01206,2021-08-21,2.95
e2acf72f,Amy Mendoza,bbell@example.com,676.500.4908x240,"74584 Alison Grove Suite 881, West Rachelfort, KY 10783",East Leslie,Mississippi,46092,2021-09-21,4.05
3139d32c,Michael Henry,johnnewman@example.org,450.348.8899,"348 David Stream, North Tiffany, UT 58209",Clineshire,Alabama,26283,2025-02-25,0.03
a9488d99,Angel Miller,kimberly04@example.org,5756224593,"07044 Evans Corner Apt. 496, Smithfurt, MS 58699",Marilynville,New Hampshire,98542,2022-10-12,4.03
fc377a4c,Ana Hill,juliephillips@example.org,619-269-3157x2791,"2680 Johnson Track, Sharonmouth, MP 34911",North Jamestown,Nevada,21642,2021-08-19,3.49
ddd1dfb2,Kimberly Nguyen,troyrodriguez@example.com,001-896-210-5566x1390,"59660 Angela Stravenue, Micheleside, NH 56053",Conleyfurt,Georgia,71180,2023-02-16,1.7
7412b293,Kerry Chavez DDS,ricetiffany@example.com,980-358-9258x3206,"67320 Marsh Harbor Apt. 384, Ashleyton, RI 36450",North Mitchell,Wyoming,44627,2021-05-16,0.78
29a3b2e9,Michael Farrell,david96@example.com,264.862.2517,"901 Carroll Islands Suite 277, South Alanton, MI 63442",Sherryshire,New Mexico,25849,2022-11-04,4.79
ab9099a4,Patricia Le,kathrynbest@example.org,516-586-2278x376,"0914 Ashley Mill, West Katie, KY 34519",Kimland,South Carolina,71800,2021-01-17,1.68
aefcfad8,Jesse Perez,matthewsalexander@example.org,814.765.9116,"22903 Diamond Ferry, Rileyton, OH 94526",Andrewton,South Carolina,52409,2023-08-21,0.46
a28defe3,Jesse Perry,livingstonstacy@example.com,(435)959-0425x979,"0580 Michael Club Suite 181, East Mark, MN 89763",Reynoldsfurt,Minnesota,25214,2021-03-02,0.48
3eabedcb,Jeffery Ortega,courtney86@example.com,4336521103,"2059 Rogers Lodge Suite 749, East Michealport, FL 77994",Adamsland,Wisconsin,13131,2024-06-15,4.24
451b4cf3,Christian Leblanc,imiller@example.net,5515477053,"8895 Nicholas Prairie, Lake Jessicafurt, WV 85594",Lake Phillipstad,Massachusetts,01005,2022-12-21,3.02
b02b61c4,Ronald Davis,joshuacollins@example.net,+1-284-687-9206,"98986 Melanie Pines, New Thomashaven, NC 58306",Mikaylaland,Kansas,42675,2024-05-06,4.04
5304317f,Parker Cain,terrimoore@example.com,(304)839-4070,"435 Lauren Lake, South Leslie, DE 91343",West Aaron,West Virginia,83313,2023-04-26,3.65
0e51f30d,Laurie Hoffman,wwillis@example.net,+1-345-410-4636x81579,"1588 Robin Shoal Suite 937, Hallberg, ND 32606",Weaverville,Arkansas,06584,2020-11-24,2.68
ce177b4e,Bryan Gomez,collinssamuel@example.org,787.980.0384,"929 Flynn Junctions Suite 116, Wagnerberg, OK 65276",Mendezshire,Idaho,43314,2023-12-31,4.87
10f1bc81,Nicole Parrish,sanchezsandy@example.org,(220)655-5438x4046,"70216 Cannon Station, Newtonberg, VI 04967",Kelseyfort,Louisiana,24023,2020-09-30,1.89
9132b63e,Tracy Burke,dsalazar@example.com,525.862.1689,"212 Strong Knoll, South Heidi, IA 93822",New Christinastad,Tennessee,35910,2020-08-25,2.76
366eb16f,Kenneth Lewis,davidzimmerman@example.net,492.564.9578,"9991 Charles Knoll Suite 676, Katherineberg, VA 24546",South Robert,Mississippi,32518,2023-01-15,4.15
e27a984d,Courtney Rodriguez,martinstephanie@example.net,+1-729-383-2482x6292,"09957 Flores Fall, Shirleyville, IN 39475",West Angela,Indiana,69898,2020-08-17,3.09
24933b83,Holly Farmer,gary24@example.net,+1-881-625-2056,"889 Mitchell Lights, Katherineberg, AZ 96789",Fergusonshire,Arkansas,31295,2024-09-06,4.31
beb79919,Renee Bruce,wiseanthony@example.com,542.531.2209x949,"8499 Garcia Haven, North Keith, NM 58030",Mooremouth,Colorado,72568,2020-08-01,2.89
bf3c4c06,Sabrina Austin,alexandria49@example.net,705.417.2897,"4913 Thomas Ford, North Carmen, AZ 71257",New Jimchester,Idaho,93533,2023-04-10,3.52
956269f0,Allison Hickman,crawfordwilliam@example.org,(577)522-3306x0463,"70534 Dennis Pike, Port Shawn, PW 14868",South Allisonfort,Iowa,00751,2022-10-22,0.23
ff50bde4,Debra White,kvillarreal@example.com,827-297-5736,"6741 Victoria Street, West Lindabury, VA 10246",West Anthonyshire,West Virginia,47068,2020-12-21,1.14
7e570ddf,Ellen Morgan,jonathangarcia@example.net,+1-965-969-9988x081,"7815 Ryan Squares Suite 380, East Derrickfurt, VI 29364",Whitemouth,Pennsylvania,73003,2022-05-19,1.45
dc713d96,Sergio Knight,perezwilliam@example.org,2385860868,"2727 Anderson Roads Apt. 830, Jonesside, RI 27835",New Shawnfurt,Oklahoma,90824,2023-12-30,0.4
28f49481,Charles Schultz,sanchezthomas@example.com,976-944-7264x9082,"4969 Dana Orchard, West Mary, FM 38789",Lake Brookeberg,Wyoming,21713,2024-01-17,1.16
98ae4334,Paul Lewis,haroldhorne@example.org,781-929-8266,"695 Phillips Forges Apt. 467, Johnchester, DE 23595",North Davidstad,Kentucky,55279,2022-10-18,0.51
988c24c9,Glen Wood,pwalker@example.com,4273937145,"156 Kim Orchard Suite 963, West Josephborough, FM 54110",Sweeneyhaven,New York,81234,2022-06-22,1.39
405cacec,Paula Bradley,joseph19@example.com,417-851-8689,"5667 Ross Center Suite 735, West Sethbury, OK 22329",South Alexis,Hawaii,22903,2024-03-12,3.18
f143262f,Anthony Moore,shawrachel@example.org,+1-460-225-9222,"952 Stephanie Brooks, Davismouth, PW 46730",New Melissashire,Kansas,87006,2022-02-21,1.82
1d53434b,Megan Nelson,lindajarvis@example.com,(944)974-2123x09407,"083 Nichols Estate, Heathbury, LA 21656",Sarahland,Alaska,74498,2023-04-19,1.85
c0398710,Karla Ramos,wileymichelle@example.com,+1-809-973-3977,"PSC 5638, Box 3000, APO AP 13938",Wardhaven,Indiana,80646,2022-01-04,1.05
5715bd6f,Paul Wilson,christopher70@example.com,599-203-8498,"24403 Arthur Summit Apt. 662, Michelleland, CA 66628",Teresaville,Louisiana,08686,2023-03-20,1.33
287d06ca,Douglas Gregory,kellymueller@example.net,(620)750-2099,"08921 Lee Rest Suite 568, West Joshuaborough, CT 35139",Tuckerport,Virginia,08318,2021-05-20,4.68
b8db0672,Mr. Andrew Foster,stevenvargas@example.com,401-962-2499,"Unit 9764 Box 6136, DPO AP 37012",Lake Juliefort,Florida,59627,2022-09-18,3.24
f8cda88b,Aimee Turner,jessicapayne@example.org,001-695-901-4556x1681,"0765 Shaun Ports, South Kelliemouth, MN 62996",Paulburgh,Arizona,52681,2023-11-29,3.05
81f76d1c,Chad Scott,adamortiz@example.org,(214)358-6833,"2118 Jared Overpass Apt. 126, Millsshire, WV 30966",North Amberside,Florida,70491,2024-09-06,0.86
a013ac6e,Adam Burgess,cynthia05@example.org,001-681-779-4695,"6452 Marc Port Suite 043, Gardnermouth, SD 31399",West Christopher,Ohio,91924,2022-09-13,3.65
81f631d4,James Padilla,usweeney@example.com,(599)678-7729,"811 Lyons Lane Apt. 028, East Jamesville, AZ 56099",Casechester,Maine,57149,2021-02-19,0.82
5fb8d16c,Sandra Drake,harristonya@example.com,801.207.1396,"86604 Ryan Hill Suite 859, Anneburgh, FL 38537",Gregoryberg,New Jersey,21998,2024-02-09,1.9
f4188f3f,Scott Williams,jwoodward@example.net,258-330-3441x44885,"589 Kennedy Fords, Saraberg, GA 69232",Cookshire,California,60451,2021-03-12,4.95
eb2263dd,Thomas Atkins,christopher38@example.com,+1-455-969-9023x55770,"56227 Victoria Avenue Suite 331, Riveraton, RI 61933",South Brianview,Pennsylvania,99628,2023-03-20,3.2
7d154385,Laura Mckinney,stephen19@example.org,(778)257-6084,"8350 Joshua View, Silvaport, MN 82355",Josephberg,West Virginia,57667,2025-02-13,2.78
5cec4eb5,Brian Smith,danafoster@example.net,895.451.2405,"831 Dakota Forge Suite 249, East Laurashire, SD 50694",Port Angelaport,Wyoming,32491,2022-09-26,3.42
ce88cb2d,Robert Montgomery,grahamtamara@example.org,001-696-829-1450,"973 Aaron Fort Apt. 192, East Thomas, AL 42881",Toddton,Alaska,30272,2025-01-15,4.21
3da9c2a9,Tamara Davis,jose56@example.net,473-357-4384,"87675 Mason Crest, New Phillip, WI 51033",Ryanhaven,Colorado,23741,2024-02-03,3.88
14296c07,Dana Chapman,louis43@example.org,(903)617-8078x235,"8581 Stephanie Roads Suite 268, Henryview, TX 16261",North Megan,New Jersey,73352,2021-11-17,1.15
d0e6e660,Jennifer Collins,derekcarrillo@example.org,001-252-318-2307x68104,"520 Wyatt Trail Suite 639, South Neil, WA 01899",East Megan,Virginia,27607,2022-05-24,0.16
885f6e66,Gary Jackson,danielcole@example.com,670-718-4094x35334,"309 Murphy Land Suite 809, Arthurview, SD 63249",Tylertown,Hawaii,66246,2022-08-24,1.58
a8e56e0c,Ashley Hicks,wmartinez@example.org,001-771-742-2410x98813,"0907 Henry Mountains Apt. 050, Lake Jill, VI 17756",Lake Brandonfurt,Hawaii,80378,2021-11-29,1.34
2a45c2ab,Hannah Luna,qparker@example.org,224-493-2149x587,"70518 Lucero Fields, West Marymouth, MH 93471",Lake Rachel,Texas,51011,2020-06-29,1.05
9b49bd26,Robin Young,mooregina@example.net,4709160166,"066 Calvin Views Apt. 412, Williamsborough, UT 66753",Hillton,Florida,88735,2023-01-07,4.71
edcd465e,Craig Morrison,lewismelissa@example.org,+1-354-953-8179x217,"4851 Owens Villages, New Sarahland, DE 12371",Jacksonberg,Maine,27219,2022-02-24,4.38
b09b2a5c,Mary Thompson,dawsontanya@example.com,977-933-2945x6255,"59020 Dana Mount, Lake Sherryport, MP 89746",Melaniefort,Arkansas,28614,2024-05-03,1.57
66245bfa,Kathleen Webster,byrdjorge@example.org,7174157724,"240 Mccarthy Fall, Donaldmouth, MT 30118",New Frank,Mississippi,63894,2024-07-11,3.28
5f987c71,Joann Glass,cranemelissa@example.net,516.415.8148x76963,"24474 Tracy Prairie Suite 587, North Stephanie, OR 51052",Paigeview,Arkansas,53914,2024-09-23,1.98
7394988f,Madison Weber,codygarcia@example.org,361.953.9669x5832,"654 Matthew Parkway, Christopherborough, KS 29108",North Christopherhaven,New Hampshire,98409,2020-06-10,4.57
1064005c,Lori Hernandez,smithmaria@example.org,699-875-8172,"82727 Watson Lane, West Jacquelinestad, VI 01536",East Haley,Washington,11419,2022-01-27,2.29
8dcdcd03,Jeremy Turner,jamesmorales@example.net,591-496-5701,"5125 Martin Plains Apt. 079, Watkinschester, VA 52842",Allenberg,Nebraska,66778,2021-11-04,1.32
01d74256,Anthony Romero,aguilarjonathan@example.org,001-902-527-8469,"5957 Evans Wells, Port Sarah, NY 14637",Jonesside,Kentucky,44570,2021-03-30,1.23
0f1259e0,Jesse Brown,osbornjames@example.net,254.894.6519,"690 William Hills Apt. 922, Kristinaton, CO 41038",Adamland,Texas,83731,2024-09-09,2.81
080aadfb,Angela Lin,flamb@example.com,(340)658-0085,"7627 Donna Flats, West Kyle, HI 31458",Port Michaelside,Ohio,15449,2022-01-13,1.31
839fbc50,Lisa Hunter,williamssteven@example.org,8365965666,"32850 Moore Courts Suite 863, Barnettmouth, VT 32317",North Darrenstad,New Jersey,83221,2023-10-07,2.92
7c441fe7,Julian Conner,zunderwood@example.com,+1-327-223-8656x24220,"2526 Villanueva Viaduct, Carlsonside, CA 45965",New Gregorymouth,Washington,71585,2020-11-21,4.49
b92da22b,Joanna Pacheco,reyesronald@example.com,(876)421-2679,"92355 Mason Alley, Melendezbury, DC 66030",Port Dianemouth,Wyoming,98810,2020-10-07,2.0
93829b43,Erica Alvarez,rebekahhill@example.com,986.587.6532x690,"6156 Ronald Haven, Paulfort, AZ 34713",South Christopher,Connecticut,53256,2021-11-22,1.1
7914c120,Antonio Garcia,austinharvey@example.org,001-384-968-9500x975,"USCGC White, FPO AA 89936",Lake Michaelmouth,New Mexico,23705,2022-03-22,4.99
1825bc54,Gwendolyn Klein,victor87@example.org,001-912-384-7818x913,"1516 Eugene Crossroad, Parkstown, NM 86198",Port Ashleyborough,Tennessee,52621,2024-08-13,2.55
5ab33edf,Carrie Wright,ramirezderrick@example.org,+1-789-849-0580x77879,"USCGC Henderson, FPO AE 40209",North Stevenchester,South Dakota,60122,2021-09-25,0.45
dd2467ac,Jeffrey Mills,crystalpham@example.org,(444)220-9494x079,"785 Joseph Vista, Danielburgh, NE 70193",Erintown,Vermont,14231,2023-10-26,0.24
a748dbcf,Jake Campbell,wcasey@example.com,+1-649-604-7128x14429,"05943 Graham Mountain, Billfort, NH 48618",Scottland,New York,32984,2020-07-02,0.55
0f844fef,George Harper,kcooper@example.net,901-492-9275x243,"6540 White Knolls Suite 075, Cynthiaville, MI 96433",Annamouth,Massachusetts,57393,2024-07-18,3.14
ccf3a171,Maria Jones,paul20@example.com,705.212.9276x63723,"21812 Cynthia Meadows Suite 579, Port Rebecca, VA 69124",Jeremyberg,Kentucky,72872,2024-03-21,3.96
310c0c00,Michael Mitchell,anthonycochran@example.com,+1-841-902-7674x7836,"55029 Patrick Stream, West Saraport, NE 53026",Gutierrezside,Nebraska,40439,2024-06-27,2.11
23e2fcb4,Mary Escobar,stokesthomas@example.com,728-860-4765x801,"161 Ashley Hollow Apt. 059, Lewischester, KY 98394",Port Meredith,Connecticut,14743,2024-09-25,0.32
766ecb15,Felicia Aguilar,terrigarcia@example.net,+1-545-744-1496x739,"8096 Erika Groves, South Jamiechester, TN 17509",Davidview,South Carolina,00608,2021-09-02,1.91
134c6c92,Gregory Ponce,josephvelasquez@example.net,+1-525-680-0106x18175,"513 Andrew Islands Apt. 194, Matthewsmouth, ND 51493",Sueville,Rhode Island,10250,2024-12-01,4.98
db20a56e,Jenna Larson,gallagherstacie@example.net,330-409-1093x911,"5557 Steven Summit, Clarkburgh, TX 51627",Huffland,Idaho,25387,2020-10-06,2.65
a6f2f7b8,Emily Bennett,lkelly@example.org,(692)412-4471x7465,"917 Miller Summit, Kevinmouth, NV 88909",South James,Kentucky,20824,2023-03-08,4.86
03c72ba8,Robin Santiago,brittanydrake@example.net,001-514-806-6504x42717,"929 Cunningham Mall, Port Teresaside, WA 64825",Lisaland,Arkansas,87509,2021-08-30,4.3
c0e9ab30,Nancy Jennings,robin05@example.net,(971)628-6391,"Unit 6826 Box 9116, DPO AE 28197",Port Jessica,Missouri,66802,2024-04-07,0.06
680ac07a,Maria Henderson,annalopez@example.com,401-219-4707,"Unit 9422 Box 6865, DPO AE 55312",North Jonathanton,Mississippi,21059,2024-10-20,3.6
dd59ba71,Jack White,gregory01@example.org,9649256908,"PSC 4551, Box 5888, APO AA 30005",West Kim,South Dakota,26862,2024-03-23,3.41
2a25a888,Travis Tucker,carolynsmith@example.com,(861)283-0671x98554,"4722 Roberts Place Suite 721, Carpenterchester, MT 54279",Walkerburgh,Ohio,30072,2021-11-07,2.68
63f2ae24,Chad Jones,riverachristina@example.org,+1-515-685-1743x2806,"329 Carol Street, Doughertymouth, RI 33261",South Patriciaborough,Iowa,94466,2020-04-06,1.33
c8fe3ccd,Ashley Wise,jennifer50@example.org,001-561-957-1732x030,"150 Arnold Way Apt. 275, East Thomas, VT 26687",Samuelhaven,Ohio,80294,2022-08-11,3.2
b253d218,Sophia Johnson,brendastark@example.org,(818)347-8700x5050,"03977 Gabriela Mills Apt. 278, Port Cassandramouth, VI 21376",West Monica,New Hampshire,20470,2024-11-25,0.56
c88a618e,Ralph Anderson,susan56@example.net,487.982.9310,"06876 Krista Green, Lake Kimberlyside, VT 03610",South Alyssa,Georgia,13496,2023-11-18,2.17
7c967f79,Christopher Guerra,rogersmarcus@example.org,+1-407-390-3202x0417,"6056 Patterson Crossing, East Melanieshire, WV 15152",Atkinsside,Utah,88715,2021-09-30,2.27
37bb3eec,Rhonda Martin,fconner@example.net,717-899-3136,"5237 Joseph Isle Apt. 773, Matthewmouth, MA 59532",Williamschester,New Mexico,71353,2022-11-14,4.77
bc594585,Jason Rhodes,grant89@example.com,419-882-5309x25114,"022 Johnson Land Suite 442, Thomasmouth, TX 39151",Leeside,South Dakota,67098,2020-09-18,4.38
504867ba,Jeremy Mitchell,elizabetholsen@example.com,(358)827-3902,"94643 Melissa Prairie, Eddietown, KS 48232",Lake Wendy,Georgia,96326,2022-11-06,1.32
7a0ecfea,Joann Ferguson,jessica42@example.org,001-520-471-0021x94672,"9252 Mills Lane Suite 287, South Penny, AL 88154",Sarahhaven,Michigan,29835,2021-09-23,2.5
87f7e1fb,Robert Harrison,rushstacy@example.com,+1-348-676-3290x9279,"USNV Walker, FPO AE 29901",New Kevin,North Carolina,46288,2021-03-22,0.89
82010c62,Holly Valentine,whitelucas@example.net,(560)983-3181x958,"357 Hudson Route, Port Juliehaven, MH 30434",West Lauren,California,24989,2023-12-21,4.56
118a9d29,Mrs. Diane Reyes,daniellegarcia@example.com,001-634-503-1277x22005,"061 Romero Groves Apt. 079, East Jonathan, WA 24445",Morseport,Idaho,60936,2022-10-13,4.35
dca02eec,Tracy Montoya,markmiller@example.com,(345)397-0108x22078,"72094 Davis Field, East Alexandraton, IL 30331",Hermanside,Georgia,97123,2023-08-29,1.49
f10c718b,Brenda Wright,gary15@example.com,379.795.6353,"1805 James Crescent Suite 173, New Bridgetfort, ME 75124",West Matthewmouth,Massachusetts,79155,2022-12-18,3.19
94340a03,Shelly Spencer,bakerjohn@example.org,913.263.6317,"73997 Johnathan Lodge Suite 725, Palmerport, KS 70256",Mcintoshton,Rhode Island,95963,2021-12-28,3.04
14fcdd54,Ryan Rosales,jonathan10@example.org,(723)497-2652x73543,"884 Rodriguez Throughway Apt. 705, Simpsonburgh, CA 57126",Wardmouth,Arizona,08797,2022-12-20,0.76
90b2b633,Phillip Nelson,akim@example.org,4907421776,"5823 Kathryn Forest, Warrenmouth, WI 70021",Christopherfurt,Pennsylvania,69753,2022-02-09,3.81
42c18a62,Brittany Kim,ysnyder@example.com,349.829.2983,"392 Moore Trafficway Suite 229, West Sue, NJ 86155",East Anne,Vermont,63005,2024-04-15,2.7
506e5a9a,Courtney Hayes,egarcia@example.net,573.497.7406x33569,"434 Michael Village Suite 524, Jessicamouth, NV 40873",New Austinmouth,Michigan,43147,2024-07-15,3.89
21813d25,Alexander Brown,franciscojones@example.org,001-806-900-7806,"0606 Brewer Dam Suite 403, Lake Jennifer, LA 49453",Danielfort,Missouri,93332,2020-08-10,2.65
750cab75,Cynthia Vang,andrew41@example.org,001-617-573-1806x325,"5883 Christina Mill Suite 113, West Jennifer, VA 78218",Jessicaville,Montana,97007,2021-01-17,0.0
ef8c485b,Alfred Galvan,george62@example.net,+1-810-474-2799x0772,"673 Benitez Radial, Brownton, SC 45418",North Stephanie,Wisconsin,92292,2024-07-15,1.62
9f044aed,Marie Moody,paynerachael@example.org,(570)316-5804x649,"4172 Mark Trail Suite 229, Audreyside, CO 57944",South Kimberlyfurt,Ohio,03094,2024-12-25,0.1
19985f15,Dustin Gallegos,brooke97@example.net,+1-750-785-0165x790,"840 Kelsey Cliff Suite 573, West Taylor, NH 47975",New Valerietown,Maine,53724,2021-02-04,4.65
8181a8cc,Brenda Thornton,reynoldsdesiree@example.net,(381)983-2538,"9021 Simmons Valley Suite 080, Allenchester, AZ 66589",West Linda,Virginia,63714,2023-03-19,4.39
5958a499,Aaron Miller,gmoore@example.com,001-793-935-5486x4015,"749 Walters Street Apt. 918, New Erichaven, PR 11999",Flemington,Kentucky,65120,2023-10-18,4.16
3e896c64,Ruben Dunn,terriortiz@example.net,988.317.8847x9513,"316 Owens Streets Apt. 512, Shawnchester, FM 03316",East Cynthia,North Carolina,51047,2024-04-02,1.54
702cdd20,Kelsey Rodriguez,donna43@example.org,462-941-1241,"96003 Simmons Green Apt. 958, Valdezborough, WI 75793",Lovestad,Washington,12949,2021-10-13,0.29
4d71c366,Eric Williams,longandrea@example.com,(738)804-6827,"PSC 9232, Box 3421, APO AE 70417",West Lisa,West Virginia,85782,2022-09-02,4.39
ce9e1a11,Riley Bryant,briansmith@example.org,704.931.0385x695,"85155 Dominique Flats, Frankview, IN 28974",Hollyland,Georgia,06195,2022-07-23,4.73
aaf91531,Taylor Carlson,madison97@example.org,001-488-677-4924,"71607 Omar Mission, Rossborough, WI 50374",North Patricia,Kansas,55877,2023-06-06,0.43
ee87905e,Jose Allen,johnsongeorge@example.com,475.440.2547,"28981 Katherine Crest, Yangstad, WA 42035",East Samuel,New York,99528,2024-05-28,2.43
e0ccedc5,Jeffrey Mendez,wellsdarrell@example.com,001-484-922-2231x059,"85748 Sierra Brook, South Lindafurt, PR 13616",Kristenshire,Kansas,82964,2020-12-05,0.35
e3c43657,Jason Beck,qburns@example.com,452-638-0552x578,"64316 Smith Harbor Suite 023, New Albert, NC 20916",Monicaton,South Dakota,95312,2024-04-04,3.8
27cb6f2a,William Jones,maypaul@example.com,706-672-7520,"09345 Morrow Manor Apt. 282, West Natasha, DE 21783",East Michelleton,Illinois,49028,2023-12-13,3.83
35ebd32d,Katie Mcneil,cwood@example.org,649.229.7517x0281,"6549 Johnson Burg, Anthonyfort, AZ 96832",West Danielborough,New Hampshire,76785,2023-05-29,0.64
afffcfd2,Jeanette Harrison,scott43@example.com,(693)575-1509x3983,"86982 Craig Keys Apt. 161, South Stevenchester, PR 70850",West Tammy,Oregon,22396,2021-07-26,2.38
81627cf1,Veronica King,hernandezheather@example.org,7182718637,"7742 Douglas Lakes, South Trevorshire, ID 16994",Scottmouth,Wyoming,01323,2023-07-25,2.75
e87d1c78,Richard Cooper,barnettlindsey@example.com,+1-356-526-5650x45547,"31164 John Glen, Lake Donna, MA 93622",South Justinfort,California,83706,2020-09-26,1.33
a2607723,Lori Ingram,angelarandall@example.net,001-576-674-2662x9912,"Unit 9889 Box 4256, DPO AA 87166",Port Scottborough,Idaho,71047,2022-10-28,4.36
0b49452d,Evelyn Williams,rsheppard@example.com,985.419.6106x4628,"603 Alexis Roads, Port Lauraburgh, MO 42775",South Brooke,Connecticut,69005,2022-02-03,2.12
217d65a0,Robin Thompson,thomasmiller@example.net,626.948.7049,"5396 Haney Motorway Suite 871, Dianahaven, MA 44705",West Jeanetteshire,Florida,13667,2021-12-20,1.06
295d6fbf,Julie Dominguez,shawrachel@example.net,+1-373-600-2447,"Unit 2457 Box 8715, DPO AP 34955",Dawnbury,Colorado,86246,2023-07-21,2.7
b4a69f3c,Robin Brown,davidtodd@example.org,(827)630-1471x95979,"0821 Theresa Village Apt. 184, Port Michael, NV 57669",North Alecfurt,Colorado,35418,2021-05-06,3.65
1ca3c448,Judith Carter,teresastokes@example.org,+1-971-458-9042x9025,"268 Donald Springs, Port Alvin, VA 98096",Susanborough,Arkansas,32923,2025-03-07,1.01
b0e6a969,Curtis Williams,hendersonvanessa@example.com,(520)445-6504x481,"880 Ryan Square, West Erik, TX 22211",Kendratown,Delaware,10339,2025-01-29,1.56
093923de,Kaylee Hays,wendyburton@example.net,001-419-228-5544x51895,"289 Garrison Harbors, South Kennethhaven, MT 62962",Lake Phyllis,North Dakota,81918,2022-05-15,4.98
8d7248e2,Dawn Mullins,luis11@example.com,(584)457-6521,"401 Erickson Skyway, Jasonland, AR 99482",North Joshuaberg,New Jersey,17204,2023-05-20,3.25
0ab54bde,Howard Norman,rarnold@example.net,233.989.8881x67112,"2362 Myers Fields, Port Michael, IN 36705",East Rosshaven,North Carolina,61723,2023-11-03,2.19
eededb07,Evelyn Martinez,astark@example.net,(545)427-9852x401,"92372 Hodges Branch Apt. 848, Port Courtneyfort, IN 87063",Calebside,Arizona,80022,2022-05-30,2.59
0a368ce7,Steve Paul,jrodriguez@example.org,001-923-842-3216x110,"972 Nicole Throughway, Nancyton, MS 33983",Courtneyville,Kansas,58774,2023-02-01,0.61
ae9bec36,Jasmine Beltran,buckleyanna@example.org,6312089071,"9274 Alexandra Corners Suite 376, Brownville, VI 37227",Lake Matthew,Vermont,54207,2020-08-18,1.12
5a8aaeca,Jonathan Glass MD,mikayla56@example.com,440-711-9393,"8564 Miller Courts Suite 397, New Ryan, KY 14127",New Michael,Minnesota,15807,2025-03-07,1.69
dfed2c43,Monica Miller,kpena@example.net,5123495528,"Unit 7899 Box 6986, DPO AE 79362",West Gina,Vermont,60878,2025-01-27,2.94
bfddc3d9,Samantha Gardner,rjohnson@example.com,290-383-3428,"113 Carpenter Station, Ochoaton, MI 85316",Dwaynestad,Oklahoma,66452,2025-03-02,1.15
3c9ad14c,Bobby Guerrero,christinebecker@example.com,787.859.2712,"806 Caldwell Burg Apt. 920, Coreychester, AS 04220",Joneston,Nebraska,91568,2020-06-06,1.1
